run	time	zone	id.fire	target.area	burnt.area
1	10	ZB	36	52	52
1	10	ZB	37	116	116
1	10	ZB	38	72	72
1	10	ZB	39	76	76
1	10	ZB	40	1936	1936
1	10	ZB	41	808	808
1	10	ZB	42	1136	1136
1	10	ZB	43	1548	1548
1	10	ZB	44	132	132
1	10	ZB	45	48	48
1	10	ZB	46	1132	1132
1	10	ZB	47	160	160
1	15	ZB	1	48	48
1	15	ZB	2	1016	1016
1	15	ZB	3	172	172
1	15	ZB	4	1504	1504
1	15	ZB	5	116	116
1	15	ZB	6	960	12
1	15	ZB	7	60	60
1	15	ZB	8	112	112
1	15	ZB	9	56	56
1	15	ZB	10	1776	1776
1	15	ZB	11	976	272
1	15	ZB	12	280	280
1	15	ZB	13	112	112
1	15	ZB	14	84	84
1	15	ZD	15	44	44
1	15	ZD	16	12	12
1	15	ZD	17	16	16
1	15	ZD	18	16	16
1	15	ZD	19	4	4
1	15	ZC	20	184	184
1	15	ZC	21	100	100
1	15	ZC	22	4	4
1	15	ZC	23	40	40
1	15	ZC	24	20	20
1	15	ZC	25	16	16
1	15	ZC	26	24	24
1	15	ZC	27	64	64
1	15	ZC	28	124	124
1	15	ZC	29	84	84
1	15	ZC	30	36	36
1	15	ZC	31	108	108
1	15	ZC	32	116	116
1	15	ZC	33	172	172
1	15	ZC	34	84	84
1	15	ZA	35	368	368
1	15	ZA	36	96	96
1	15	ZA	37	40	40
1	15	ZA	38	36	36
1	15	ZA	39	1084	1084
1	15	ZA	40	32	32
1	15	ZA	41	224	224
1	15	ZA	42	16	16
1	15	ZA	43	204	204
1	15	ZA	44	280	280
1	15	ZA	45	36	36
1	15	ZA	46	80	80
1	15	ZA	47	184	184
1	15	ZA	48	60	60
1	20	ZD	1	8	8
1	20	ZD	2	12	12
1	20	ZD	3	8	8
1	20	ZD	4	44	44
1	20	ZD	5	48	48
1	20	ZC	6	96	96
1	20	ZC	7	116	116
1	20	ZC	8	68	68
1	20	ZC	9	128	128
1	20	ZC	10	80	80
1	20	ZC	11	12	12
1	20	ZC	12	64	64
1	20	ZC	13	100	100
1	20	ZC	14	28	28
1	20	ZC	15	56	56
1	20	ZC	16	104	104
1	20	ZC	17	76	76
1	20	ZC	18	0	4
1	20	ZC	19	52	52
1	20	ZC	20	140	140
1	20	ZA	21	1732	1732
1	20	ZA	22	44	44
1	20	ZA	23	64	64
1	20	ZA	24	1052	1052
1	20	ZA	25	92	92
1	20	ZA	26	384	384
1	20	ZA	27	168	168
1	20	ZA	28	1036	1036
1	20	ZA	29	36	36
1	20	ZA	30	1112	1112
1	20	ZA	31	568	568
1	20	ZA	32	156	156
1	20	ZA	33	76	76
1	20	ZA	34	52	52
1	20	ZB	35	940	940
1	20	ZB	36	448	448
1	20	ZB	37	1048	1048
1	20	ZB	38	80	80
1	20	ZB	39	156	156
1	20	ZB	40	420	420
1	20	ZB	41	56	56
1	20	ZB	42	100	100
1	20	ZB	43	220	220
1	20	ZB	44	28	28
1	20	ZB	45	776	776
1	20	ZB	46	124	124
1	20	ZB	47	12	12
1	20	ZB	48	64	64
1	25	ZB	1	68	68
1	25	ZB	2	196	196
1	25	ZB	3	444	444
1	25	ZB	4	172	172
1	25	ZB	5	40	40
1	25	ZB	6	40	40
1	25	ZB	7	60	60
1	25	ZB	8	168	168
1	25	ZB	9	60	60
1	25	ZB	10	176	176
1	25	ZB	11	176	176
1	25	ZB	12	144	144
1	25	ZB	13	60	60
1	25	ZB	14	96	96
1	25	ZA	15	228	228
1	25	ZA	16	548	548
1	25	ZA	17	1008	1008
1	25	ZA	18	232	12
1	25	ZA	19	112	112
1	25	ZA	20	136	136
1	25	ZA	21	68	68
1	25	ZA	22	64	64
1	25	ZA	23	60	60
1	25	ZA	24	56	56
1	25	ZA	25	92	92
1	25	ZA	26	1440	1440
1	25	ZA	27	168	168
1	25	ZA	28	468	468
1	25	ZC	29	160	160
1	25	ZC	30	4	4
1	25	ZC	31	92	92
1	25	ZC	32	84	84
1	25	ZC	33	128	128
1	25	ZC	34	220	220
1	25	ZC	35	76	76
1	25	ZC	36	20	20
1	25	ZC	37	444	444
1	25	ZC	38	52	52
1	25	ZC	39	212	212
1	25	ZC	40	4	4
1	25	ZC	41	92	92
1	25	ZC	42	36	36
1	25	ZC	43	36	36
1	25	ZC	44	340	340
1	25	ZD	45	8	8
