run	time	UA	SProd_ha	S_CC_ha_an	S_PC_ha_an	vol
1	15	9352	742800	5440	480	583120
1	15	9471	1474400	18240	1600	1748200
1	15	9551	156800	1920	160	110240
1	15	9751	1051200	9600	1120	934840
1	20	11	764400	6880	4080	1205800
1	20	111	321200	3440	1600	568840
1	20	11161	496800	6400	1200	927400
1	20	11262	330400	4240	640	585080
1	20	11263	315200	4240	640	619240
1	20	1171	306800	1680	1840	360280
1	20	121	467200	3840	2480	699400
1	20	122	486800	4160	2400	733240
1	20	1272	620400	6320	1760	967280
1	20	141	202800	1200	1680	282200
1	20	151	463200	2000	4720	604120
1	20	161	337600	2080	2720	476240
1	20	171	354400	3360	1520	564160
1	20	21	156000	1680	640	273680
1	20	22	175200	1920	400	275960
1	20	2371	1177200	12320	2160	1696000
1	20	2471	1479600	15520	1760	1841800
1	20	2571	2405600	27520	3360	3169560
1	20	2651	162800	1760	160	210000
1	20	2661	388000	2480	320	291760
1	20	2662	212000	2160	160	239920
1	20	2663	142000	1840	160	208000
1	20	2664	374000	3200	480	377400
1	20	2665	296000	1280	320	159440
1	20	2666	189600	1200	160	142280
1	20	2751	970000	8800	1200	1052440
1	20	3153	114400	1360	160	194400
1	20	3171	224800	2240	1040	364600
1	20	3351	300800	3600	800	503920
1	20	3451	13600	80	80	16680
1	20	3551	111600	640	560	118320
1	20	41	225200	1360	1760	311040
1	20	4151	444800	4240	2960	789560
1	20	4251	841600	8320	3120	1263840
1	20	4351	918000	10160	1200	1302920
1	20	4352	592000	6160	2480	987320
1	20	51	724400	5040	5040	1030360
1	20	5151	36800	320	240	59880
1	20	6151	54800	240	720	83400
1	20	6271	430400	4320	2720	779680
1	20	6452	130000	480	1840	194040
1	20	6471	956400	6160	7600	1282120
1	20	71	511600	3040	4320	710480
1	20	7151	232400	1200	2560	344160
1	20	7152	474400	3040	3840	677040
1	20	7251	116400	320	1600	155680
1	20	7351	360400	1840	3920	527640
1	20	7352	318800	3120	1760	532080
1	20	7451	751200	6880	3680	1171400
1	20	81	106000	1120	240	170040
1	20	8151	301600	1840	3280	480520
1	20	8152	562400	5040	3120	901240
1	20	82	459200	0	320	19280
1	20	8251	460000	2880	640	417280
1	20	8351	877200	9200	2240	1254560
1	20	8451	615200	6640	800	809080
1	20	8462	210800	2080	160	242800
1	20	8551	634000	3600	560	443520
1	20	8562	40400	0	0	NA
1	20	8651	333200	0	480	29360
1	20	8652	269200	0	240	13480
1	20	8663	184000	2000	160	220160
1	20	8664	176400	1840	160	206240
1	20	8665	234000	2480	320	286360
1	20	8666	330000	2240	320	265160
1	20	8751	378000	2000	400	241360
1	20	8762	329600	2240	240	260040
1	20	8763	306400	1280	320	170960
1	20	8764	381600	2320	400	278800
1	20	91	241200	3040	480	392160
1	20	9351	1529200	16480	1680	1986320
1	20	9352	742800	5440	480	610880
1	20	9471	1474400	18160	1600	2119880
1	20	9551	156800	1920	320	248200
1	20	9751	1051200	10000	1360	1250720
1	25	11	764400	6560	4240	823280
1	25	111	321200	3440	1440	357040
1	25	11161	496800	6320	1120	386520
1	25	11262	330400	4160	800	334720
1	25	11263	315200	4240	560	200040
1	25	1171	306800	1760	1840	268040
1	25	121	467200	3920	2640	481640
1	25	122	486800	4160	2320	608960
1	25	1272	620400	6480	1360	374080
1	25	141	202800	1200	1680	283560
1	25	151	463200	1920	4560	488160
1	25	161	337600	2080	2800	460520
1	25	171	354400	3280	1600	480040
1	25	21	156000	1680	800	196640
1	25	22	175200	1920	400	213760
1	25	2371	1177200	12320	1920	799000
1	25	2471	1479600	14400	1360	1216920
1	25	2571	2405600	26560	3040	2642200
1	25	2651	162800	1760	160	190320
1	25	2661	388000	2400	320	234600
1	25	2662	212000	2160	80	218880
1	25	2663	142000	1840	160	199120
1	25	2664	374000	3280	400	337120
1	25	2665	296000	1360	240	168600
1	25	2666	189600	960	160	108120
1	25	2751	970000	3600	720	329480
1	25	3153	114400	1520	0	83680
1	25	3171	224800	2320	880	226760
1	25	3351	300800	3840	720	318040
1	25	3451	13600	80	80	16680
1	25	3551	111600	880	480	116400
1	25	41	225200	1440	1840	294440
1	25	4151	444800	4320	2960	623160
1	25	4251	841600	8720	2720	1013200
1	25	4351	918000	8960	1280	970880
1	25	4352	592000	5840	2480	850920
1	25	51	724400	5040	5200	769080
1	25	5151	36800	240	320	55600
1	25	6151	54800	240	720	82920
1	25	6271	430400	4240	2800	580840
1	25	6452	130000	480	1680	183480
1	25	6471	956400	5520	7600	1099720
1	25	71	511600	3200	4480	675120
1	25	7151	232400	1040	2560	303720
1	25	7152	474400	2960	4000	642080
1	25	7251	116400	400	1600	166800
1	25	7351	360400	1760	3760	472600
1	25	7352	318800	3120	1840	465760
1	25	7451	751200	6720	3600	1028560
1	25	81	106000	1040	400	127400
1	25	8151	301600	1840	3200	455920
1	25	8152	562400	5040	3280	849280
1	25	82	459200	3440	640	409200
1	25	8251	460000	3040	720	378000
1	25	8351	877200	9280	2000	1192360
1	25	8451	615200	6000	960	638080
1	25	8462	210800	0	240	14560
1	25	8551	634000	1520	400	194840
1	25	8562	40400	0	0	NA
1	25	8651	333200	800	400	102000
1	25	8652	269200	0	240	7640
1	25	8663	184000	2080	160	228000
1	25	8664	176400	1920	160	207120
1	25	8665	234000	2560	160	269160
