run	time	domain	spp	0-20	20-40	40-60	60-80	80-100	>100	Tot
1	50	1	EPN	11896	14872	18352	14508	3140	23920	86688
1	50	1	ERS	0	0	0	0	0	0	0
1	50	1	NonFor	2632	2316	15160	21356	908	108	42480
1	50	1	other	3288	2712	4292	3800	868	2900	17860
1	50	1	PET	14960	12292	6480	512	112	608	34964
1	50	1	SAB	4108	3204	3976	3812	824	10932	26856
1	55	3	BOJ	36	128	320	288	272	1996	3040
1	55	3	EPN	92	124	112	188	52	252	820
1	55	3	ERS	1480	1412	1800	2664	1932	19564	28852
1	55	3	NonFor	96	120	1396	5168	512	0	7292
1	55	3	other	4712	4404	4012	3172	1728	6444	24472
1	55	3	PET	3036	3484	2836	480	484	1984	12304
1	55	3	SAB	236	516	840	872	824	1672	4960
1	55	2	BOJ	548	1264	1304	1404	1516	3820	9856
1	55	2	EPN	4988	5052	6004	5992	2776	4704	29516
1	55	2	ERS	2556	1792	1960	1924	1484	7396	17112
1	55	2	NonFor	744	700	3760	11304	1332	0	17840
1	55	2	other	11456	9460	10048	8780	4212	9392	53348
1	55	2	PET	21284	16568	12064	2120	1040	1892	54968
1	55	2	SAB	4120	4444	4972	5644	3060	7100	29340
1	55	1	BOJ	20	36	20	24	20	32	152
1	55	1	EPN	11228	12520	17672	15204	4452	21876	82952
1	55	1	ERS	0	0	0	0	0	0	0
1	55	1	NonFor	2220	1832	8852	25800	3668	108	42480
1	55	1	other	3604	2580	3800	4184	1024	2752	17944
1	55	1	PET	15504	12508	8992	544	168	624	38340
1	55	1	SAB	4088	3064	4004	3976	1240	10748	27120
1	60	3	BOJ	32	100	244	348	256	1940	2920
1	60	3	EPN	96	136	64	172	72	244	784
1	60	3	ERS	1408	1472	1668	2628	2208	19584	28968
1	60	3	NonFor	64	156	80	5600	1392	0	7292
1	60	3	other	4852	4524	4108	3136	1776	6328	24724
1	60	3	PET	2952	3608	3196	424	472	1924	12576
1	60	3	SAB	200	456	640	688	780	1712	4476
1	60	2	BOJ	328	1120	1428	1316	1396	3752	9340
1	60	2	EPN	4624	4580	5440	5820	3104	4436	28004
1	60	2	ERS	2732	2000	2340	2100	1600	7648	18420
1	60	2	NonFor	936	752	740	12120	3292	0	17840
1	60	2	other	12060	9496	9600	8740	4504	9280	53680
1	60	2	PET	20892	17164	14584	2008	1128	1888	57664
1	60	2	SAB	3168	4460	4152	5116	3080	7056	27032
1	60	1	BOJ	16	40	16	32	20	24	148
1	60	1	EPN	10752	11024	16452	15052	5788	19780	78848
1	60	1	ERS	0	0	0	0	0	0	0
1	60	1	NonFor	1840	2492	2168	27496	8376	108	42480
1	60	1	other	4204	2356	3304	4452	1260	2684	18260
1	60	1	PET	16956	11460	12316	604	244	612	42192
1	60	1	SAB	3992	3012	3812	4144	1616	10484	27060
1	65	3	BOJ	36	76	184	332	232	1900	2760
1	65	3	EPN	112	136	76	120	80	224	748
1	65	3	ERS	1428	1500	1712	2376	2508	19704	29228
1	65	3	NonFor	72	152	56	4152	2860	0	7292
1	65	3	other	5132	4520	4272	3228	1888	6288	25328
1	65	3	PET	2936	3468	3048	608	452	1816	12328
1	65	3	SAB	64	396	624	652	696	1624	4056
1	65	2	BOJ	236	936	1352	1112	1416	3788	8840
1	65	2	EPN	4844	4336	5052	4844	3080	4408	26564
1	65	2	ERS	2744	2296	2776	2336	1712	8144	20008
1	65	2	NonFor	848	792	844	9100	6232	24	17840
1	65	2	other	12000	10204	10036	8044	4736	9352	54372
1	65	2	PET	20044	18052	14928	3444	1144	1928	59540
1	65	2	SAB	2172	4496	4060	4348	2828	6912	24816
1	65	1	BOJ	16	32	20	20	24	24	136
1	65	1	EPN	9852	10340	14892	14464	6892	18576	75016
1	65	1	ERS	12	0	0	0	0	0	12
1	65	1	NonFor	1780	2496	2244	21012	14640	308	42480
1	65	1	other	4676	2668	3296	3732	1676	2684	18732
1	65	1	PET	18056	12164	12192	2756	296	624	46088
1	65	1	SAB	3520	3208	3504	4124	1868	10300	26524
1	70	3	BOJ	48	44	176	288	256	1824	2636
1	70	3	EPN	124	100	112	88	84	220	728
1	70	3	ERS	1380	1448	1960	2180	2620	19988	29576
