run	time	UA	tot.inc	even.age	sup.mat	s.inc.burnt	s.inc.mat.burnt	s.inc.kill	s.inc.mat.kill	cc.area.unaff	cc.area.salvaged	harv.cc.EPN	harv.cc.BOJ	harv.cc.PET	harv.cc.SAB	harv.cc.ERS	harv.cc.other	reg.fail.ex	reg.fail.inc
1	10	2662	2120	1992	796	0	0	0	0	104	0	96	0	0	8	0	0	0	0
1	10	2663	1420	1348	652	56	28	0	0	72	20	68	0	4	0	0	20	0	16
1	10	2664	3740	3508	1336	0	0	0	0	156	0	132	0	4	4	0	16	0	0
1	10	2665	2960	2832	1244	176	116	0	0	88	20	96	0	0	0	0	12	0	36
1	10	2666	1896	1796	784	120	100	0	0	56	16	68	0	0	0	0	4	0	4
1	10	2751	9700	9224	3840	476	256	0	0	432	108	380	0	8	108	0	44	56	152
1	10	3153	1144	1084	204	0	0	0	0	56	0	12	0	0	28	0	16	0	0
1	10	3171	2248	1572	520	0	0	0	0	108	0	32	4	8	40	0	24	0	0
1	10	3351	3008	2752	852	0	0	0	0	184	0	60	0	48	36	0	40	0	0
1	10	3451	136	88	44	0	0	0	0	4	0	0	0	0	0	0	4	0	0
1	10	3551	1116	840	264	0	0	0	0	40	0	16	0	0	4	0	20	0	0
1	10	41	2252	1348	464	0	0	0	0	48	0	0	0	12	12	0	24	0	0
1	10	4151	4448	3000	1380	0	0	0	0	212	0	8	0	40	52	4	108	0	0
1	10	4251	8416	7240	2484	0	0	0	0	416	0	64	0	72	92	0	188	0	0
1	10	4351	9180	8716	3336	60	28	0	0	480	36	284	0	36	48	0	148	0	12
1	10	4352	5920	5052	2876	136	84	0	0	256	64	96	4	64	16	0	140	12	28
1	10	51	7244	4696	1588	24	8	0	0	256	4	8	0	52	52	0	144	0	8
1	10	5151	368	220	104	0	0	0	0	12	0	0	0	4	4	0	4	0	0
1	10	6151	548	180	128	0	0	0	0	8	0	0	0	4	0	4	0	0	0
1	10	6271	4304	2992	1160	0	0	0	0	228	0	4	0	56	52	8	108	0	0
1	10	6452	1300	384	248	0	0	0	0	28	0	0	0	12	4	12	0	0	0
1	10	6471	9564	5972	3144	436	244	0	0	280	72	104	8	20	48	8	164	0	88
1	10	71	5116	2940	1748	60	16	0	0	152	12	0	0	84	20	0	60	0	8
1	10	7151	2324	1032	636	0	0	0	0	52	0	0	0	8	4	4	36	0	0
1	10	7152	4744	2928	1656	0	0	0	0	164	0	8	4	24	16	0	112	0	0
1	10	7251	1164	332	244	0	0	0	0	20	0	0	0	8	0	4	8	0	0
1	10	7351	3604	1728	1092	0	0	0	0	96	0	4	0	36	12	0	44	0	0
1	10	7352	3188	2388	1480	0	0	0	0	168	0	28	0	12	20	0	108	0	0
1	10	7451	7512	6044	3260	0	0	0	0	356	0	28	8	52	20	0	248	0	0
1	10	81	1060	984	360	0	0	0	0	56	0	0	0	36	0	0	20	0	0
1	10	8151	3016	1420	1116	0	0	0	0	92	0	4	0	8	4	4	72	0	0
1	10	8152	5624	4216	2744	184	124	0	0	216	56	0	20	32	24	0	196	0	16
1	10	82	4592	4380	1132	1316	432	0	0	176	44	104	0	88	12	0	16	4	244
1	10	8251	4600	4288	1560	752	288	0	0	224	56	104	0	76	36	0	64	28	256
1	10	8351	8772	7936	3296	552	232	0	0	396	100	220	8	40	20	0	208	4	168
1	10	8451	6152	5856	1972	96	16	0	0	316	16	192	0	28	24	0	88	0	44
1	10	8462	2108	2004	616	0	0	0	0	100	0	80	0	4	4	0	12	0	0
1	10	8551	6340	6004	2244	604	212	0	0	232	56	244	0	12	8	0	24	8	232
1	10	8562	404	396	260	0	0	0	0	28	0	20	0	4	0	0	4	0	0
1	10	8651	3332	3140	812	500	256	0	0	88	24	80	0	12	4	0	16	0	104
1	10	8652	2692	2580	940	0	0	0	0	92	0	56	0	24	0	0	12	0	0
1	10	8663	1840	1744	1184	0	0	0	0	100	0	96	0	0	0	0	4	0	0
1	10	8664	1764	1672	1136	0	0	0	0	96	0	88	0	0	0	0	8	0	0
1	10	8665	2340	2236	1244	0	0	0	0	128	0	116	0	0	0	0	12	0	0
1	10	8666	3300	3128	1120	0	0	0	0	108	0	80	0	0	4	0	24	0	0
1	10	8751	3780	3608	1176	720	308	0	0	136	32	88	0	12	12	0	56	0	252
1	10	8762	3296	3100	1196	0	0	0	0	108	0	92	0	0	0	0	16	0	0
1	10	8763	3064	2876	1012	752	176	0	0	80	20	76	0	16	0	0	8	4	332
1	10	8764	3816	3624	1632	360	208	0	0	120	28	124	0	4	4	0	16	0	76
1	10	91	2412	2284	1236	8	8	0	0	144	8	64	0	0	72	0	16	0	0
1	10	9351	15292	14528	6588	1220	640	0	0	712	180	704	0	12	140	0	36	16	444
1	10	9352	7428	7076	3520	340	232	0	0	240	60	272	0	8	8	0	12	4	76
1	10	9471	14744	13912	9620	172	132	0	0	760	152	708	0	4	180	0	20	4	20
1	10	9551	1568	1488	1084	0	0	0	0	96	0	44	0	0	48	0	4	0	0
1	10	9751	10512	9920	2992	752	340	0	0	424	104	352	0	36	88	0	52	20	312
1	15	11	7644	5944	1816	64	16	0	0	328	20	12	0	108	96	0	132	0	8
1	15	111	3212	2580	728	0	0	0	0	172	0	0	0	40	64	0	68	0	0
1	15	11161	4968	4392	900	0	0	0	0	304	0	40	0	44	164	0	56	0	0
1	15	11262	3304	2980	792	0	0	0	0	212	0	44	0	48	68	0	52	0	0
1	15	11263	3152	2908	784	0	0	0	0	216	0	32	0	20	132	0	32	0	0
1	15	1171	3068	2212	700	8	4	0	0	92	4	0	0	16	28	0	48	0	4
1	15	121	4672	3440	1080	12	0	0	0	156	4	8	0	12	44	4	88	0	4
1	15	122	4868	3712	1388	4	4	0	0	200	4	32	0	16	68	4	80	0	0
1	15	1272	6204	5508	1732	0	0	0	0	316	0	12	0	24	180	0	100	0	0
1	15	141	2028	1184	596	4	0	0	0	60	0	0	0	16	4	0	40	0	0
1	15	151	4632	2232	1148	104	40	0	0	84	20	0	0	40	8	8	48	0	0
1	15	161	3376	1976	980	4	0	0	0	104	0	0	0	12	4	4	84	0	0
1	15	171	3544	2928	1144	0	0	0	0	172	0	0	0	4	24	0	144	0	0
1	15	21	1560	1368	312	0	0	0	0	72	0	4	0	40	8	0	20	0	0
1	15	22	1752	1592	360	32	0	0	0	24	8	0	0	28	0	0	4	0	4
1	15	2371	11772	10972	4540	92	52	0	0	556	60	240	0	20	328	0	28	8	28
1	15	2471	14796	13940	5700	68	24	0	0	756	24	608	0	0	132	0	40	24	32
1	15	2571	24056	22740	7616	316	92	0	0	1248	116	1012	0	76	128	0	148	32	172
1	15	2651	1628	1552	832	20	12	0	0	76	12	76	0	0	4	0	8	0	4
1	15	2661	3880	3692	1116	152	60	0	0	104	24	112	0	0	12	0	4	0	68
1	15	2662	2120	2024	732	88	4	0	0	96	8	96	0	0	0	0	8	4	80
1	15	2663	1420	1332	596	0	0	0	0	92	0	84	0	0	0	0	8	0	0
1	15	2664	3740	3532	1220	44	32	0	0	128	28	136	0	0	4	0	16	0	12
1	15	2665	2960	2848	1056	216	160	0	0	76	20	80	0	0	0	0	16	8	48
1	15	2666	1896	1832	660	0	0	0	0	64	0	60	0	4	0	0	0	0	0
1	15	2751	9700	9132	3220	944	308	0	0	400	100	388	0	4	88	0	20	92	552
1	15	3153	1144	1108	184	0	0	0	0	68	0	4	0	0	44	0	20	0	0
1	15	3171	2248	1576	492	0	0	0	0	108	0	36	4	4	36	0	28	0	0
1	15	3351	3008	2716	732	0	0	0	0	188	0	68	0	32	56	0	32	0	0
1	15	3451	136	92	36	0	0	0	0	4	0	0	0	0	4	0	0	0	0
1	15	3551	1116	824	228	12	4	0	0	32	4	12	0	4	16	0	0	0	8
1	15	41	2252	1344	448	0	0	0	0	32	0	0	0	8	4	0	20	0	0
1	15	4151	4448	3032	1292	12	4	0	0	216	0	12	4	48	72	12	68	0	4
1	15	4251	8416	7240	2348	144	28	0	0	400	28	124	4	68	60	0	172	0	100
1	15	4351	9180	8664	3112	180	72	0	0	420	92	260	0	28	44	0	180	0	20
1	15	4352	5920	4984	2616	0	0	0	0	308	0	24	12	96	12	0	164	0	0
1	15	51	7244	4632	1580	12	8	0	0	244	8	4	0	28	92	0	128	0	4
1	15	5151	368	216	88	0	0	0	0	12	0	0	0	0	8	0	4	0	0
1	15	6151	548	188	132	0	0	0	0	12	0	0	0	0	8	0	4	0	0
1	15	6271	4304	2868	916	100	32	0	0	196	24	12	4	44	80	4	76	0	4
1	15	6452	1300	368	204	12	0	0	0	24	4	0	0	8	4	4	8	0	0
1	15	6471	9564	5720	2788	92	52	0	0	260	40	32	4	48	44	4	168	4	16
1	15	71	5116	2876	1604	0	0	0	0	156	0	0	0	56	24	0	76	0	0
1	15	7151	2324	1048	644	0	0	0	0	52	0	0	0	12	8	0	32	0	0
1	15	7152	4744	2796	1540	0	0	0	0	156	0	8	4	40	12	0	92	0	0
1	15	7251	1164	344	236	0	0	0	0	20	0	0	0	8	8	0	4	0	0
1	15	7351	3604	1696	980	0	0	0	0	92	0	0	0	20	8	12	52	0	0
1	15	7352	3188	2340	1332	0	0	0	0	164	0	24	4	16	0	0	120	0	0
1	15	7451	7512	5960	3060	216	132	0	0	280	72	40	0	72	32	0	208	0	16
1	15	81	1060	956	320	0	0	0	0	56	0	0	0	40	0	0	16	0	0
1	15	8151	3016	1452	1056	0	0	0	0	92	0	0	0	4	8	0	80	0	0
1	15	8152	5624	4188	2460	100	64	0	0	208	52	12	4	80	16	0	148	0	4
1	15	82	4592	4332	676	44	8	0	0	0	0	0	0	0	0	0	0	0	4
1	15	8251	4600	4208	1220	788	244	0	0	168	44	32	0	52	28	4	96	72	148
1	15	8351	8772	7892	3004	36	12	0	0	452	12	116	4	48	32	4	260	0	8
1	15	8451	6152	5800	1772	92	28	0	0	292	36	204	0	28	44	0	52	0	28
1	15	8462	2108	2004	596	0	0	0	0	104	0	80	0	0	12	0	12	0	0
1	15	8551	6340	6036	1876	568	216	0	0	188	48	176	0	28	0	0	32	12	260
1	15	8562	404	380	212	148	112	0	0	24	4	24	0	4	0	0	0	24	12
1	15	8651	3332	3172	544	92	16	0	0	0	0	0	0	0	0	0	0	0	44
1	15	8652	2692	2572	876	1016	468	0	0	76	20	72	0	0	0	0	24	0	368
1	15	8663	1840	1764	1116	0	0	0	0	104	0	100	0	0	0	0	4	0	0
1	15	8664	1764	1684	1056	0	0	0	0	96	0	92	0	4	0	0	0	0	0
1	15	8665	2340	2220	1116	40	0	0	0	128	0	112	0	8	4	0	4	0	32
1	15	8666	3300	3124	1032	0	0	0	0	108	0	92	0	0	0	0	16	0	0
1	15	8751	3780	3620	796	24	16	0	0	88	16	92	0	0	4	0	8	4	8
1	15	8762	3296	3084	1100	52	28	0	0	88	24	104	0	4	0	0	4	0	12
1	15	8763	3064	2932	804	4	4	0	0	60	4	44	0	4	4	0	8	0	0
1	15	8764	3816	3584	1320	72	8	0	0	112	8	88	0	4	4	0	24	0	40
1	15	91	2412	2272	1172	0	0	0	0	148	0	56	0	4	56	0	32	0	0
1	15	9351	15292	14544	5588	0	0	0	0	824	0	552	0	12	164	0	96	0	0
1	15	9352	7428	7024	3192	36	32	0	0	240	32	248	0	0	12	0	12	0	0
1	15	9471	14744	13920	9084	296	232	0	0	728	184	748	0	8	128	0	28	0	40
1	15	9551	1568	1476	988	0	0	0	0	96	0	52	0	0	44	0	0	0	0
1	15	9751	10512	9892	2512	12	4	0	0	480	4	276	0	44	92	0	68	0	8
1	20	11	7644	5872	1800	240	80	0	0	276	68	8	0	108	96	0	132	0	48
1	20	111	3212	2528	704	16	8	0	0	164	8	0	4	44	76	4	44	4	8
1	20	11161	4968	4372	812	20	0	0	0	312	8	48	4	32	180	0	56	0	8
1	20	11262	3304	2964	700	48	8	0	0	200	12	40	0	40	84	0	48	4	12
1	20	11263	3152	2832	768	0	0	0	0	212	0	8	0	16	140	0	48	0	0
1	20	1171	3068	2156	588	36	4	0	0	84	0	0	0	36	8	0	40	0	12
1	20	121	4672	3420	1160	48	8	0	0	172	20	0	0	20	72	12	88	0	12
1	20	122	4868	3708	1296	0	0	0	0	208	0	8	0	44	24	8	124	0	0
1	20	1272	6204	5444	1600	36	4	0	0	296	20	4	0	16	224	0	72	0	12
1	20	141	2028	1188	584	0	0	0	0	60	0	0	0	8	12	4	36	0	0
1	20	151	4632	2212	1188	8	4	0	0	100	0	0	0	24	12	0	64	0	0
1	20	161	3376	1968	960	0	0	0	0	104	0	0	0	8	0	0	96	0	0
