run	time	FRZone	spp	Area
1	30	ZB	ERS	0.042
1	30	ZC	ERS	0.125
1	30	ZD	ERS	0.356
1	30	ZA	other	0.167
1	30	ZB	other	0.233
1	30	ZC	other	0.2
1	30	ZD	other	0.346
1	30	ZA	PET	0.164
1	30	ZB	PET	0.196
1	30	ZC	PET	0.148
1	30	ZD	PET	0.147
1	30	ZA	SAB	0.093
1	30	ZB	SAB	0.149
1	30	ZC	SAB	0.251
1	30	ZD	SAB	0.106
1	35	ZA	BOJ	0.003
1	35	ZB	BOJ	0.051
1	35	ZC	BOJ	0.047
1	35	ZD	BOJ	0.022
1	35	ZA	EPN	0.551
1	35	ZB	EPN	0.311
1	35	ZC	EPN	0.214
1	35	ZD	EPN	0.018
1	35	ZA	ERS	0
1	35	ZB	ERS	0.048
1	35	ZC	ERS	0.133
1	35	ZD	ERS	0.363
1	35	ZA	other	0.168
1	35	ZB	other	0.231
1	35	ZC	other	0.2
1	35	ZD	other	0.351
1	35	ZA	PET	0.18
1	35	ZB	PET	0.209
1	35	ZC	PET	0.162
1	35	ZD	PET	0.151
1	35	ZA	SAB	0.098
1	35	ZB	SAB	0.149
1	35	ZC	SAB	0.245
1	35	ZD	SAB	0.096
1	40	ZA	BOJ	0.003
1	40	ZB	BOJ	0.048
1	40	ZC	BOJ	0.043
1	40	ZD	BOJ	0.019
1	40	ZA	EPN	0.527
1	40	ZB	EPN	0.294
1	40	ZC	EPN	0.203
1	40	ZD	EPN	0.017
1	40	ZA	ERS	0.001
1	40	ZB	ERS	0.054
1	40	ZC	ERS	0.14
1	40	ZD	ERS	0.37
