frz	GCM	RCP	SEP0	SEP1	SEP2	rSEP1	rSEP2
B	HadGEM2_ES_10km	rcp85	28.3854804878049	35.4137707317073	54.3573731707317	1.24801522490121	1.91455927128869
C	HadGEM2_ES_10km	rcp85	29.1828085271318	36.8108356589147	55.2176546511628	1.26278327480328	1.89508557058756
D	HadGEM2_ES_10km	rcp85	33.7918988416988	42.6584081081081	65.6109853281853	1.26150994305026	1.94118423929434
E	HadGEM2_ES_10km	rcp85	27.9352333333333	35.6084248756219	51.3941955223881	1.27807032574087	1.84509842241004
F	HadGEM2_ES_10km	rcp85	28.4026948453608	36.3521690721649	53.6829737113402	1.28157111390372	1.8943790273224
G	HadGEM2_ES_10km	rcp85	22.8217849462366	29.8238580645161	44.3525344086022	1.30785558703437	1.94236626586749
H	HadGEM2_ES_10km	rcp85	31.0873148717949	38.4551502564103	57.2810964102564	1.2375598899782	1.8477086412667
A	MIROC_ESM_CHEM_10km	rcp26	35.326132195122	40.0469082926829	39.901703902439	1.13406430170911	1.12981087839446
B	MIROC_ESM_CHEM_10km	rcp26	30.1040365853659	34.7159682926829	33.9254853658537	1.15350407210963	1.12694791345317
C	MIROC_ESM_CHEM_10km	rcp26	30.9073825581395	35.4439290697674	34.9888213178295	1.14758890983189	1.1322559991519
D	MIROC_ESM_CHEM_10km	rcp26	35.7971030888031	40.6211061776062	40.3946725868726	1.13606654337646	1.13005394981132
E	MIROC_ESM_CHEM_10km	rcp26	29.7243621890547	34.1216835820896	33.8171358208955	1.15066399292665	1.14027300611665
F	MIROC_ESM_CHEM_10km	rcp26	30.1543953608247	34.6354371134021	34.3192226804124	1.14951042140528	1.13853116857886
G	MIROC_ESM_CHEM_10km	rcp26	24.0251096774194	28.0407430107527	27.6986731182796	1.16917506531699	1.15522564744115
H	MIROC_ESM_CHEM_10km	rcp26	33.1135035897436	37.6753307692308	37.6607087179487	1.14015576778116	1.13981003365688
A	MIROC_ESM_CHEM_10km	rcp45	36.0157785365854	40.4462868292683	41.9564541463415	1.1234197738153	1.16539136047737
B	MIROC_ESM_CHEM_10km	rcp45	30.5347682926829	34.7475048780488	36.0743219512195	1.13800643553203	1.18134150846796
C	MIROC_ESM_CHEM_10km	rcp45	31.5986562015504	35.8254158914729	36.595676744186	1.13410726767889	1.1592867015089
D	MIROC_ESM_CHEM_10km	rcp45	36.8521613899614	41.1840463320463	42.5868135135135	1.11916638236881	1.15735277550282
E	MIROC_ESM_CHEM_10km	rcp45	30.6144029850746	34.8138	35.1347467661692	1.13905788160796	1.15155046779884
F	MIROC_ESM_CHEM_10km	rcp45	30.8962608247423	35.378081443299	35.6943484536082	1.14563680115861	1.15681081037654
G	MIROC_ESM_CHEM_10km	rcp45	24.7368225806452	28.5014655913978	29.4468838709677	1.15321702834806	1.19227247025431
H	MIROC_ESM_CHEM_10km	rcp45	33.9375133333333	38.3788425641026	38.6395466666667	1.13250362932387	1.14175874216755
A	MIROC_ESM_CHEM_10km	rcp85	35.3500956097561	43.0151692682927	51.3931302439024	1.21700244096881	1.45461473484559
B	MIROC_ESM_CHEM_10km	rcp85	29.5853512195122	36.3690926829268	43.5552756097561	1.22952764025668	1.47213393533625
C	MIROC_ESM_CHEM_10km	rcp85	30.4078697674419	37.166803875969	43.7566550387597	1.2230530027749	1.44003904661342
D	MIROC_ESM_CHEM_10km	rcp85	35.7875567567568	44.4255305019305	52.7263235521236	1.24332827604962	1.47562918751047
E	MIROC_ESM_CHEM_10km	rcp85	29.1985437810945	36.9187800995025	42.9864855721393	1.2676578989446	1.47680244058446
F	MIROC_ESM_CHEM_10km	rcp85	29.4352896907216	36.8327144329897	43.0373268041237	1.25234706133121	1.46369629226843
G	MIROC_ESM_CHEM_10km	rcp85	23.4327419354839	30.2054946236559	35.0079333333333	1.29199051244353	1.49576197054509
H	MIROC_ESM_CHEM_10km	rcp85	32.8241466666667	40.6484302564103	47.8316	1.24030759642472	1.46042512171042
