age	matu	vol.max	vol
135	M70	V90	66
140	M70	V90	65
145	M70	V90	64
150	M70	V90	63
0	M90	V90	0
5	M90	V90	1
10	M90	V90	2
15	M90	V90	4
20	M90	V90	6
25	M90	V90	8
30	M90	V90	11
35	M90	V90	15
40	M90	V90	19
45	M90	V90	24
50	M90	V90	28
55	M90	V90	35
60	M90	V90	42
65	M90	V90	49
70	M90	V90	56
75	M90	V90	63
80	M90	V90	70
85	M90	V90	74
90	M90	V90	79
95	M90	V90	81
100	M90	V90	84
105	M90	V90	86
110	M90	V90	88
115	M90	V90	86
120	M90	V90	83
125	M90	V90	79
130	M90	V90	75
135	M90	V90	72
140	M90	V90	68
145	M90	V90	66
150	M90	V90	63
